city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,mamallapuram,12.63,80.17,26.0,78,40,1.5,IN,1609519541
352,wamba,8.93,8.6,31.61,21,0,1.59,NG,1609519431
353,gambo,4.65,22.26,28.4,31,85,0.76,CF,1609519541
354,ishcherskaya,43.72,45.13,0.0,89,90,1.0,RU,1609519541
355,kalianget,-7.05,113.93,26.19,84,100,4.25,ID,1609519541
356,stonewall,50.13,-97.33,-9.63,78,90,1.5,CA,1609519541
357,tsaratanana,-16.78,47.65,24.97,67,3,3.7,MG,1609519541
358,tiznit,29.58,-9.5,13.02,50,0,3.33,MA,1609519541
359,praia,14.92,-23.51,27.0,57,0,7.2,CV,1609519428
360,saint-avold,49.1,6.7,2.05,99,99,0.86,FR,1609519542
361,yar-sale,66.83,70.83,-32.12,84,0,2.14,RU,1609519526
362,itarema,-2.92,-39.92,31.05,59,70,8.29,BR,1609519542
363,meulaboh,4.14,96.13,24.61,87,100,2.46,ID,1609519391
364,kolkwitz,51.75,14.25,2.78,91,100,1.96,DE,1609519542
365,monrovia,6.3,-10.8,32.0,66,75,4.1,LR,1609519542
366,zhezkazgan,47.8,67.71,-20.15,91,37,2.73,KZ,1609519542
367,pochutla,15.74,-96.47,26.17,53,75,1.83,MX,1609519542
368,puerto narino,-3.77,-70.38,31.0,66,75,2.6,CO,1609519542
369,katangli,51.71,143.23,-21.24,86,100,6.18,RU,1609519542
370,kodiak,57.79,-152.41,2.0,78,90,4.1,US,1609519489
371,basoko,1.24,23.62,24.99,83,100,1.31,CD,1609519543
372,smithers,54.78,-127.17,-4.0,92,90,2.1,CA,1609519426
373,abbeville,50.1,1.83,0.83,84,76,1.41,FR,1609519543
374,kozhva,65.11,57.05,-24.37,86,0,2.43,RU,1609519543
375,lakatoro,-16.1,167.42,26.92,79,99,3.35,VU,1609519543
376,garmsar,35.22,52.34,5.65,62,0,0.58,IR,1609519543
377,bubaque,11.28,-15.83,27.73,66,0,5.71,GW,1609519543
378,constitucion,-35.33,-72.42,20.41,54,1,3.55,CL,1609519491
379,ballina,-28.87,153.57,21.15,94,75,2.6,AU,1609519413
380,eyl,7.98,49.82,24.13,70,99,8.98,SO,1609519543
381,luderitz,-26.65,15.16,25.51,38,2,14.07,NA,1609519411
382,husavik,66.04,-17.34,-6.0,85,90,1.5,IS,1609519392
383,santa isabel,-23.32,-46.22,26.43,57,75,3.6,BR,1609519543
384,mecca,21.43,39.83,25.35,65,50,2.16,SA,1609519324
385,xai-xai,-25.05,33.64,25.74,86,30,9.87,MZ,1609519527
386,pisco,-13.7,-76.22,23.02,69,90,6.2,PE,1609519404
387,padang,-0.95,100.35,24.0,94,40,2.6,ID,1609519544
388,kavaratti,10.57,72.64,28.43,68,44,1.64,IN,1609519544
389,ambulu,-8.35,113.61,24.36,90,100,1.03,ID,1609519544
391,pemangkat,1.17,108.97,24.67,91,100,3.24,ID,1609519448
392,taseyevo,57.22,94.9,-31.4,86,74,0.44,RU,1609519544
393,nong kung si,16.65,103.3,16.0,67,36,2.1,TH,1609519544
